year,month,day,max_temp_C,min_temp_C,avg_temp_c,humidity,precipprob,windgust,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,precipitation,rain
2015,1,1,15.94,3.94,10.0,74.7,100,11.2,5.8,1020.4,79.1,2.4,96.6,4,0.8,1
2015,1,2,21.67,9.94,12.72,80.1,100,19.9,9.2,1022.2,93.3,2.9,40.4,2,0.0,0
2015,1,3,19.83,8.94,12.67,86.3,100,15.4,15.7,1021.0,90.3,2.8,58.6,4,0.5,1
2015,1,4,21.06,8.94,12.5,85.5,100,17.0,9.2,1018.1,67.1,2.7,118.0,6,0.5,1
2015,1,5,17.94,5.94,10.72,83.2,0,16.3,10.3,1013.9,41.6,3.9,139.2,6,0.0,0
2015,1,6,16.94,7.94,11.22,78.0,0,16.1,10.3,1016.4,62.5,3.7,98.8,5,0.0,0
2015,1,7,15.94,6.33,10.17,77.8,0,15.7,10.3,1017.1,65.7,3.4,102.8,5,0.0,0
2015,1,8,22.06,3.94,9.61,76.4,100,15.7,6.9,1018.9,50.1,3.9,114.1,5,0.0,0
2015,1,9,17.94,3.94,9.11,72.8,0,15.4,9.2,1020.3,24.0,3.8,173.6,7,0.0,0
2015,1,10,19.94,1.94,8.83,68.2,0,12.1,8.1,1018.8,22.9,3.9,190.1,7,0.0,0
2015,1,11,18.94,2.94,9.61,64.8,0,11.6,6.9,1019.3,52.2,3.7,185.8,7,0.0,0
2015,1,12,18.94,2.94,9.5,71.1,0,13.2,8.1,1020.7,31.3,3.3,188.1,7,0.0,0
2015,1,13,18.94,2.94,9.83,72.0,100,14.5,9.2,1020.3,27.0,3.4,191.5,7,0.0,0
2015,1,14,18.94,2.94,9.67,70.5,0,13.9,8.1,1021.1,25.0,3.5,187.5,7,0.0,0
2015,1,15,24.33,2.94,10.0,70.3,0,15.0,9.2,1021.1,23.0,4.1,167.1,7,0.0,0
2015,1,16,16.94,2.94,9.61,73.3,0,14.8,6.9,1021.1,27.1,3.6,151.2,7,0.0,0
2015,1,17,16.94,4.94,10.0,74.8,0,15.4,9.2,1020.0,29.2,3.8,170.2,6,0.0,0
2015,1,18,16.94,2.94,9.61,70.9,0,14.1,9.2,1019.8,25.2,4.1,193.5,7,0.0,0
2015,1,19,18.94,2.94,9.67,69.2,0,14.8,8.1,1019.9,25.1,4.2,192.9,7,0.0,0
2015,1,20,18.94,2.94,9.56,66.8,0,13.2,8.1,1022.5,33.3,4.1,181.8,7,0.0,0
2015,1,21,23.83,2.94,10.44,66.9,0,14.1,6.9,1024.5,25.1,4.0,193.7,7,0.0,0
2015,1,22,18.94,3.94,10.89,67.3,0,15.7,8.1,1022.8,69.7,3.8,187.8,7,0.0,0
2015,1,23,17.94,7.94,12.22,69.2,0,18.6,8.1,1020.0,71.8,4.2,186.9,7,0.0,0
2015,1,24,17.94,2.94,10.56,71.4,0,18.3,10.3,1020.1,44.7,3.9,194.5,7,0.0,0
2015,1,25,18.94,2.94,10.67,67.9,0,18.6,9.2,1021.2,61.3,4.3,189.6,7,0.0,0
2015,1,26,15.94,7.94,11.11,76.4,0,14.3,8.1,1021.9,88.9,3.0,94.0,4,0.0,0
2015,1,27,19.06,6.94,11.33,71.7,0,19.7,10.3,1020.2,55.0,3.7,123.3,5,0.0,0
2015,1,28,19.94,1.94,10.0,67.4,0,18.8,9.2,1017.7,25.4,3.7,206.6,8,0.0,0
2015,1,29,17.94,3.94,9.67,67.0,0,16.6,9.2,1018.8,51.8,3.9,176.5,7,0.0,0
2015,1,30,14.94,2.94,8.17,73.7,100,18.6,11.4,1018.0,31.1,3.4,164.7,7,0.0,0
2015,1,31,16.94,1.94,8.28,70.9,0,15.7,16.1,1018.6,28.0,3.6,176.3,7,0.0,0
2015,2,1,15.94,2.94,8.72,73.9,0,16.1,10.3,1020.7,29.2,3.1,162.2,7,0.0,0
2015,2,2,18.94,2.94,10.0,69.4,0,16.6,9.2,1023.5,27.1,3.4,197.1,7,0.0,0
2015,2,3,20.94,3.94,11.78,67.2,0,30.0,17.2,1025.8,38.1,3.5,193.9,8,0.0,0
2015,2,4,24.17,5.94,12.72,65.4,100,22.8,11.4,1021.9,30.6,4.4,213.5,8,1.0,1
2015,2,5,19.94,3.94,10.94,74.7,0,17.2,11.4,1020.3,27.4,4.0,199.3,7,0.0,0
