datetime,tempmax,tempmin,temp,dew,humidity,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,precipitation
2015-01-01,60.7,39.1,50.0,41.7,74.7,100,4.17,rain,11.2,5.8,166.0,1020.4,79.1,2.4,96.6,8.3,4,,2015-01-01T06:54:15,2015-01-01T17:19:31,0.8
2015-01-02,71.0,49.9,54.9,48.4,80.1,100,20.83,rain,19.9,9.2,26.0,1022.2,93.3,2.9,40.4,3.3,2,,2015-01-02T06:54:31,2015-01-02T17:20:12,0.0
2015-01-03,67.7,48.1,54.8,50.5,86.3,100,8.33,rain,15.4,15.7,304.8,1021.0,90.3,2.8,58.6,5.0,4,,2015-01-03T06:54:46,2015-01-03T17:20:54,0.5
2015-01-04,69.9,48.1,54.5,49.6,85.5,100,4.17,rain,17.0,9.2,252.4,1018.1,67.1,2.7,118.0,10.3,6,,2015-01-04T06:54:58,2015-01-04T17:21:37,0.5
2015-01-05,64.3,42.7,51.3,45.7,83.2,0,0.0,,16.3,10.3,213.3,1013.9,41.6,3.9,139.2,12.0,6,,2015-01-05T06:55:10,2015-01-05T17:22:20,0.0
2015-01-06,62.5,46.3,52.2,45.0,78.0,0,0.0,,16.1,10.3,243.1,1016.4,62.5,3.7,98.8,8.5,5,,2015-01-06T06:55:20,2015-01-06T17:23:04,0.0
2015-01-07,60.7,43.4,50.3,43.1,77.8,0,0.0,,15.7,10.3,233.9,1017.1,65.7,3.4,102.8,8.9,5,,2015-01-07T06:55:28,2015-01-07T17:23:49,0.0
2015-01-08,71.7,39.1,49.3,41.5,76.4,100,4.17,rain,15.7,6.9,203.0,1018.9,50.1,3.9,114.1,9.7,5,,2015-01-08T06:55:35,2015-01-08T17:24:34,0.0
2015-01-09,64.3,39.1,48.4,38.7,72.8,0,0.0,,15.4,9.2,58.0,1020.3,24.0,3.8,173.6,14.8,7,,2015-01-09T06:55:40,2015-01-09T17:25:20,0.0
2015-01-10,67.9,35.5,47.9,35.7,68.2,0,0.0,,12.1,8.1,280.9,1018.8,22.9,3.9,190.1,16.2,7,,2015-01-10T06:55:44,2015-01-10T17:26:06,0.0
2015-01-11,66.1,37.3,49.3,36.3,64.8,0,0.0,,11.6,6.9,180.1,1019.3,52.2,3.7,185.8,15.9,7,,2015-01-11T06:55:46,2015-01-11T17:26:52,0.0
2015-01-12,66.1,37.3,49.1,38.4,71.1,0,0.0,,13.2,8.1,216.1,1020.7,31.3,3.3,188.1,16.2,7,,2015-01-12T06:55:47,2015-01-12T17:27:39,0.0
2015-01-13,66.1,37.3,49.7,39.6,72.0,100,4.17,rain,14.5,9.2,263.4,1020.3,27.0,3.4,191.5,16.5,7,,2015-01-13T06:55:46,2015-01-13T17:28:27,0.0
2015-01-14,66.1,37.3,49.4,38.3,70.5,0,0.0,,13.9,8.1,155.0,1021.1,25.0,3.5,187.5,16.0,7,,2015-01-14T06:55:43,2015-01-14T17:29:15,0.0
2015-01-15,75.8,37.3,50.0,39.2,70.3,0,0.0,,15.0,9.2,240.6,1021.1,23.0,4.1,167.1,14.4,7,,2015-01-15T06:55:39,2015-01-15T17:30:03,0.0
2015-01-16,62.5,37.3,49.3,40.0,73.3,0,0.0,,14.8,6.9,172.3,1021.1,27.1,3.6,151.2,13.1,7,,2015-01-16T06:55:33,2015-01-16T17:30:51,0.0
2015-01-17,62.5,40.9,50.0,41.2,74.8,0,0.0,,15.4,9.2,236.9,1020.0,29.2,3.8,170.2,14.7,6,,2015-01-17T06:55:26,2015-01-17T17:31:40,0.0
2015-01-18,62.5,37.3,49.3,38.8,70.9,0,0.0,,14.1,9.2,264.0,1019.8,25.2,4.1,193.5,16.7,7,,2015-01-18T06:55:17,2015-01-18T17:32:28,0.0
2015-01-19,66.1,37.3,49.4,37.5,69.2,0,0.0,,14.8,8.1,203.8,1019.9,25.1,4.2,192.9,16.7,7,,2015-01-19T06:55:07,2015-01-19T17:33:17,0.0
2015-01-20,66.1,37.3,49.2,36.8,66.8,0,0.0,,13.2,8.1,201.1,1022.5,33.3,4.1,181.8,15.7,7,,2015-01-20T06:54:55,2015-01-20T17:34:06,0.0
